source,text,created_at,retweet_count,favorite_count,word_count,sentiment
Twitter for iPhone,"...Mexico’s attitude is that people from other countries, including Mexico, should have the right to flow into the U.S. &amp; that U.S. taxpayers should be responsible for the tremendous costs associated w/this illegal migration.",Tue May 21 16:16:54 +0000 2019,21842,97069,38,-0.06488856845230502
Twitter for iPhone,Mexico is wrong and I will soon be giving a response!,Tue May 21 16:16:54 +0000 2019,21842,97069,11,-0.15075567228888181
Twitter for iPhone,"I am very disappointed that Mexico is doing virtually nothing to stop illegal immigrants from coming to our Southern Border where everyone knows that because of the Democrats, our Immigration Laws are totally flawed &amp; broken...",Tue May 21 16:16:53 +0000 2019,23989,107479,36,-0.9583333333333334
Twitter for iPhone,"To the great people of Kentucky, please go out and vote for Matt Bevin today.",Tue May 21 15:25:09 +0000 2019,16177,64109,15,0.3872983346207417
Twitter for iPhone,Very important.,Tue May 21 15:25:09 +0000 2019,16177,64109,2,0.9545941546018392
Twitter for iPhone,He has done a fantastic job for you and America!,Tue May 21 15:25:09 +0000 2019,16177,64109,10,0.23717082451262844
Twitter for iPhone,#MAGA,Tue May 21 15:25:09 +0000 2019,16177,64109,1,0
Twitter for iPhone,Just returned to the beautiful @WhiteHouse after a great evening in Pennsylvania!,Tue May 21 02:06:31 +0000 2019,15128,86748,12,0.36084391824351614
Twitter for iPhone,https://t.co/wMeh9k9knv,Tue May 21 02:06:31 +0000 2019,15128,86748,6,0
Twitter for iPhone,"Megan King, who is running for Superior Court Judge in the Pennsylvania election, has my Full and Total Endorsement.",Tue May 21 02:02:28 +0000 2019,18496,73285,19,0.30971124072525835
Twitter for iPhone,She is tough on crime and fully understands all aspects of the law.,Tue May 21 02:02:28 +0000 2019,18496,73285,13,0.24961508830135312
Twitter for iPhone,Vote for Megan tomorrow (Tuesday).,Tue May 21 02:02:28 +0000 2019,18496,73285,5,0
Twitter for iPhone,Massive crowds in Pennsylvania tonight.,Tue May 21 01:04:55 +0000 2019,17287,74065,5,0
Twitter for iPhone,Thank you for joining me!,Tue May 21 01:04:55 +0000 2019,17287,74065,5,0.22360679774997896
Twitter for iPhone,https://t.co/v1e0d0AHHo,Tue May 21 01:04:55 +0000 2019,17287,74065,7,0
Twitter for iPhone,Beautiful evening for a MAKE AMERICA GREAT AGAIN rally tonight in Pennsylvania.,Tue May 21 00:45:41 +0000 2019,16177,64988,12,0.36084391824351614
